X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-46.851854462,-23.2004673223161,3414,3556503_ETE_1,ETE Várzea Paulista (Itália),86694911,0,Ativa,Sim (3509601),Não,Reator Anaeróbio + Lodos Ativados por Batelada, ,0,0.89999998,0,0,3556503,Aglomeração Urbana de Jundiaí - SP,RAN
-45.587915727,-22.9702854003214,3415,3554805_ETE_1,ETE Taubaté/Tremembé,778957514,2010,Ativa,Sim,Não,Lodos Ativados de Tanque Profundo (DEEP SHAFT),Rio Paraíba do Sul,0,0.89999998,0,0,3554805,RM do Vale do ParaLba e Litoral Norte - SP,LAT
-46.84910157,-23.5113228143091,3416,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3522505,RM São Paulo - SP,LAT
-46.849467247,-23.5112916113091,3417,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3522208,RM São Paulo - SP,LAT
-46.447870546,-23.4840213473097,3418,3550308_ETE_5,ETE São Miguel - São Paulo,86699373,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3518800,RM São Paulo - SP,LAT
-46.447924408,-23.4837941433097,3419,3550308_ETE_5,ETE São Miguel - São Paulo,86699373,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3515707,RM São Paulo - SP,LAT
-46.317914096,-23.5275450393088,3420,3552502_ETE_1,ETE Suzano,86699391,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.89999998,0,0,3515707,RM São Paulo - SP,LAT
-46.849750104,-23.5113189963091,3421,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3515004,RM São Paulo - SP,LAT
-46.585970687,-23.6110801973069,3422,3550308_ETE_1,ETE ABC,86699261,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.86000001,0,0,3513801,RM São Paulo - SP,LAT
-46.85003032,-23.5112963513091,3423,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3513009,RM São Paulo - SP,LAT
-46.85032876,-23.5113009573091,3424,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3510609,RM São Paulo - SP,LAT
-46.851938416,-23.2005017513161,3425,3556503_ETE_1,ETE Várzea Paulista (Itália),86694911,0,Ativa,Sim (3556503),Não,Reator Anaeróbio + Lodos Ativados por Batelada, ,0,0.85000002,0,0,3509601,Aglomeração Urbana de Jundiaí - SP,RAN
-46.850622198,-23.5113104913091,3426,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.85000002,0,0,3505708,RM São Paulo - SP,LAT
-46.447918819,-23.4835746783098,3427,3550308_ETE_5,ETE São Miguel - São Paulo,86699373,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.86000001,0,0,3503901,RM São Paulo - SP,LAT
-51.069440561,-29.9790414811828,3428,4300604_ETE_2,ETE Alvorada,781417,0,Ativa,Sim,Não,Lodos Ativados em Batelada - SBR Sequencing Batch Reactor/ICEAS Aeração Prolongada c/Ciclos Intermitentes, ,0,0.94999999,0,0,4323002,RM Porto Alegre - RS,LAT
-51.06905712,-29.9790380271828,3429,4300604_ETE_2,ETE Alvorada,781417,0,Ativa,Sim,Não,Lodos Ativados em Batelada - SBR Sequencing Batch Reactor/ICEAS Aeração Prolongada c/Ciclos Intermitentes, ,0,0.94999999,0,0,4300604,RM Porto Alegre - RS,LAT
-43.878136582,-19.8965088513956,3430,3106200_ETE_2,ETE Arrudas,7694993611,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.82999998,0,0,3144805,RM Belo Horizonte  - MG,LAT
-51.180834012,-29.8407589301851,3431,4307708_ETE_1,ETE Esteio/Sapucaia do Sul,782131,0,Ativa,Sim (Sapucaia do Sul),Não,Lodos Ativados por Batelada (SBR) + Decantação Quimicamente Assistida, ,0,0.89999998,0,0,4320008,RM Porto Alegre - RS,QBI
-50.018457688,-29.7288476971869,3432,4304630_ETE_2,ETE Guarani,77995,0,Ativa,Sim (Capão da Canoa),Não,Reator Anaeróbio + Filtro Aeróbio + Floculação Quimicamente Assistida + Decantação, ,0,0.89999998,0,0,4323804,Aglomeração Urbana do Litoral Norte - Rio Grande do Sul - RS,QBI
-54.7411592,-17.5236546794576,3433,5007935_ETE_1,ETE Sonora,896293355,0,Em construção/ampliação,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa + Lagoa de Maturação, ,0,0.25999999,0,0,5007935, ,LAG
-42.852000759,-4.56209695285015,3434,2211100_ETE_1,ETE União,74195611,0,Em construção/ampliação,Não,Sim,Lagoa Facultativa + Lagoa de Maturação, ,0,0.99000001,0,0,2211100,RIDE TERESINA - Região Integrada de Desenvolvimento da Grande Teresina - PI,LAG
-47.899265,-9.35465599969694,3435,1718758_ETE_1,ETE Rio Sono,644311,0,Em construção/ampliação,Não,Sim,Lagoa Facultativa, ,0,0.77999997,0,0,1718758, ,LAG
